family,instance,vars,algorithm,true_size,reported_size,missing,extra,identical,check_calls
uf20-91,uf20-0100.cnf,20,complement,11,11,0,0,True,41
uf20-91,uf20-01000.cnf,20,propagate,20,20,0,0,True,41
uf20-91,uf20-01000.cnf,20,complement,20,20,0,0,True,41
uf20-91,uf20-0101.cnf,20,propagate,17,17,0,0,True,41
uf20-91,uf20-0101.cnf,20,complement,17,17,0,0,True,41
uf50-218,uf50-01.cnf,50,propagate,44,44,0,0,True,101
uf50-218,uf50-01.cnf,50,complement,44,44,0,0,True,101
uf50-218,uf50-010.cnf,50,propagate,36,36,0,0,True,101
uf50-218,uf50-010.cnf,50,complement,36,36,0,0,True,101
uf50-218,uf50-0100.cnf,50,propagate,50,50,0,0,True,101
uf50-218,uf50-0100.cnf,50,complement,50,50,0,0,True,101
uf50-218,uf50-01000.cnf,50,propagate,40,40,0,0,True,101
uf50-218,uf50-01000.cnf,50,complement,40,40,0,0,True,101
uf50-218,uf50-0101.cnf,50,propagate,24,24,0,0,True,101
uf50-218,uf50-0101.cnf,50,complement,24,24,0,0,True,101
